,Mun_Ori,Mun_Des,O_long,O_lat,D_long,D_lat,Lat_pueblo_O,Long_pueblo_O,Lat_pueblo_D,Long_pueblo_D
35575,Eibar,Donostia/San Sebastian,-2.473023949147748,43.18497750126702,-2.004762976240636,43.30099208977738,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35576,Eibar,Donostia/San Sebastian,-2.4631205869798074,43.18708444031901,-2.0053762332870493,43.31243094678276,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35577,Eibar,Donostia/San Sebastian,-2.4703384328100766,43.18503664070799,-1.977079843944189,43.30358402657974,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35578,Eibar,Donostia/San Sebastian,-2.4708209629298863,43.18348623900307,-1.9811004391681424,43.31799618497667,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35579,Eibar,Donostia/San Sebastian,-2.47407245736187,43.18402910730045,-1.9785374000577336,43.32374663055161,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35580,Eibar,Donostia/San Sebastian,-2.470383060845547,43.18575740842842,-2.00393652440058,43.301265624323854,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35581,Eibar,Donostia/San Sebastian,-2.483950014161275,43.18291151628362,-1.9709635232068103,43.32256111526706,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35582,Eibar,Donostia/San Sebastian,-2.4662645265803578,43.185647908131536,-1.97322772234941,43.3245578364074,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35583,Eibar,Donostia/San Sebastian,-2.4668756664974985,43.18723198948496,-1.976601006014268,43.303091131688895,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35584,Eibar,Donostia/San Sebastian,-2.470383060845547,43.18575740842842,-1.9751582611831864,43.304617308377296,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35585,Eibar,Donostia/San Sebastian,-2.483950014161275,43.18291151628362,-1.9793479097289697,43.31955180227732,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35586,Eibar,Donostia/San Sebastian,-2.473511304016951,43.18323851038781,-1.9811887464877724,43.30345092935061,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35587,Eibar,Donostia/San Sebastian,-2.471523325422217,43.18151069450581,-1.9998045798760435,43.30324569549639,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35588,Eibar,Donostia/San Sebastian,-2.4707767313758016,43.18432961932882,-2.0063006633276017,43.31194299216381,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35589,Eibar,Donostia/San Sebastian,-2.462275894084289,43.18573155594345,-1.9903046134961788,43.31148471763029,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35590,Eibar,Donostia/San Sebastian,-2.478234450302098,43.18258925024393,-1.9735819137681232,43.30137522972662,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35591,Eibar,Donostia/San Sebastian,-2.4668756664974985,43.18723198948496,-1.980669090873144,43.293465422322384,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35592,Eibar,Donostia/San Sebastian,-2.4736595061153404,43.18243054154981,-1.9773914171771971,43.3169755884539,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35593,Eibar,Donostia/San Sebastian,-2.481454656696928,43.18608685008632,-1.9861472886815663,43.28724976127554,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35594,Eibar,Donostia/San Sebastian,-2.4760861310466926,43.18453310035207,-1.979925539505231,43.318067425103976,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
