Referencia,Destinos,Porcentajes,Superficie Total,Mun
4064019,"['Vivienda', 'Trastero', 'Almacen', 'Garaje Cerrado']","[68.65, 13.2, 9.13, 9.02]","[624, 120, 83, 82]",13
4064020,"['Vivienda', 'Trastero', 'Local Comercial']","[65.39, 16.99, 17.62]","[616, 160, 166]",13
4064021,['Solar'],[100.0],[80],13
4064022,"['Vivienda', 'Garaje Cerrado', 'Terraza', 'Jardin']","[50.26, 9.02, 12.12, 28.6]","[970, 174, 234, 552]",13
4064023,"['Garaje Cerrado', 'Vivienda', 'Terraza', 'Jardin']","[9.4, 51.71, 12.5, 26.39]","[176, 968, 234, 494]",13
4064024,['Solar'],[100.0],[7392],13
4064025,"['Deportivo', 'Jardin']","[89.23, 10.77]","[8282, 1000]",13
4064026,"['Local Comercial', 'Vivienda', 'Plaza Parking', 'Trastero']","[7.64, 69.67, 15.18, 7.51]","[578, 5270, 1148, 568]",13
4064027,"['Local Comercial', 'Vivienda', 'Terraza', 'Trastero', 'Garaje Cerrado', 'Plaza Parking']","[6.42, 61.84, 13.66, 6.76, 10.71, 0.62]","[361, 3477, 768, 380, 602, 35]",13
4064028,['Solar'],[100.0],[646],13
4064030,"['Garaje Cerrado', 'Local Comercial', 'Vivienda', 'Trastero', 'Duplex']","[19.42, 6.78, 59.22, 14.06, 0.51]","[2583, 902, 7876, 1870, 68]",13
