Poblacion ORIGEN,Poblacion DESTINO,Desplazamientos,Lat_origen,Long_origen,Lat_destino,Long_destino
Donostia/San Sebastián,Tolosa,4490,43.2918111063554,-1.9885133578,43.1077539093613,-2.0800512827
Donostia/San Sebastián,Villabona,1240,43.2918111063554,-1.9885133578,43.1863841159828,-2.0308643183
Donostia/San Sebastián,Zarautz,4654,43.2918111063554,-1.9885133578,43.280963309723,-2.16722426204
Donostia/San Sebastián,Zumaia,797,43.2918111063554,-1.9885133578,43.2876451846902,-2.2461133898
Donostia/San Sebastián,Zumarraga,774,43.2918111063554,-1.9885133578,43.1030792391374,-2.3156108273
Eibar,Arrasate/Mondragón,430,43.1997782323138,-2.4616488769,43.0745226631642,-2.4841486565
Eibar,Azpeitia,893,43.1997782323138,-2.4616488769,43.1624073640789,-2.2517858723
Eibar,Beasain,932,43.1997782323138,-2.4616488769,43.0732613951147,-2.2179073142
Eibar,Bergara,1034,43.1997782323138,-2.4616488769,43.1220053801849,-2.4148383635
Eibar,Deba,749,43.1997782323138,-2.4616488769,43.2945746872118,-2.3538208007
Eibar,Donostia/San Sebastián,2241,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
Eibar,Mutriku,349,43.1997782323138,-2.4616488769,43.3016874985659,-2.3847547875
Eibar,Oñati,140,43.1997782323138,-2.4616488769,43.0178261678898,-2.4067931275
Eibar,Zarautz,1239,43.1997782323138,-2.4616488769,43.280963309723,-2.16722426204
Errenteria,Andoain,308,43.2553049551337,-1.8928623455,43.2194140168093,-2.0209083686
Errenteria,Astigarraga,716,43.2553049551337,-1.8928623455,43.2797569478888,-1.9334342263
Errenteria,Donostia/San Sebastián,13005,43.2553049551337,-1.8928623455,43.2918111063554,-1.9885133578
Errenteria,Hernani,638,43.2553049551337,-1.8928623455,43.2387833429893,-1.9442591545
Errenteria,Hondarribia,2130,43.2553049551337,-1.8928623455,43.3748851848767,-1.8239709632
Errenteria,Irun,3200,43.2553049551337,-1.8928623455,43.318640571622,-1.77372589148
Errenteria,Lezo,1448,43.2553049551337,-1.8928623455,43.3263415090448,-1.885769548
Errenteria,Orio,554,43.2553049551337,-1.8928623455,43.2774552762092,-2.1270561218
Errenteria,Pasaia,4364,43.2553049551337,-1.8928623455,43.318996,-1.969857
Errenteria,Tolosa,357,43.2553049551337,-1.8928623455,43.1077539093613,-2.0800512827
Errenteria,Villabona,176,43.2553049551337,-1.8928623455,43.1863841159828,-2.0308643183
Errenteria,Zarautz,731,43.2553049551337,-1.8928623455,43.280963309723,-2.16722426204
Errenteria,Zumarraga,349,43.2553049551337,-1.8928623455,43.1030792391374,-2.3156108273
Hernani,Andoain,577,43.2387833429893,-1.9442591545,43.2194140168093,-2.0209083686
Hernani,Arrasate/Mondragón,402,43.2387833429893,-1.9442591545,43.0745226631642,-2.4841486565
Hernani,Astigarraga,1525,43.2387833429893,-1.9442591545,43.2797569478888,-1.9334342263
Hernani,Beasain,347,43.2387833429893,-1.9442591545,43.0732613951147,-2.2179073142
Hernani,Donostia/San Sebastián,7140,43.2387833429893,-1.9442591545,43.2918111063554,-1.9885133578
Hernani,Errenteria,941,43.2387833429893,-1.9442591545,43.2553049551337,-1.8928623455
Hernani,Hondarribia,210,43.2387833429893,-1.9442591545,43.3748851848767,-1.8239709632
Hernani,Irun,550,43.2387833429893,-1.9442591545,43.318640571622,-1.77372589148
Hernani,Lezo,201,43.2387833429893,-1.9442591545,43.3263415090448,-1.885769548
Hernani,Pasaia,172,43.2387833429893,-1.9442591545,43.318996,-1.969857
Hernani,Tolosa,836,43.2387833429893,-1.9442591545,43.1077539093613,-2.0800512827
Hernani,Villabona,247,43.2387833429893,-1.9442591545,43.1863841159828,-2.0308643183
Hernani,Zarautz,496,43.2387833429893,-1.9442591545,43.280963309723,-2.16722426204
Hondarribia,Arrasate/Mondragón,165,43.3748851848767,-1.8239709632,43.0745226631642,-2.4841486565
Hondarribia,Astigarraga,251,43.3748851848767,-1.8239709632,43.2797569478888,-1.9334342263
Hondarribia,Donostia/San Sebastián,3424,43.3748851848767,-1.8239709632,43.2918111063554,-1.9885133578
Hondarribia,Errenteria,2130,43.3748851848767,-1.8239709632,43.2553049551337,-1.8928623455
Hondarribia,Hernani,210,43.3748851848767,-1.8239709632,43.2387833429893,-1.9442591545
Hondarribia,Irun,17472,43.3748851848767,-1.8239709632,43.318640571622,-1.77372589148
Hondarribia,Lezo,397,43.3748851848767,-1.8239709632,43.3263415090448,-1.885769548
Hondarribia,Tolosa,293,43.3748851848767,-1.8239709632,43.1077539093613,-2.0800512827
Hondarribia,Zarautz,190,43.3748851848767,-1.8239709632,43.280963309723,-2.16722426204
Irun,Andoain,483,43.318640571622,-1.77372589148,43.2194140168093,-2.0209083686
